trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",30,1,-75.86699506632611,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 1}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,-81.42599204479676,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,3,-34.16734235481435,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,19,-35.868725247047735,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,12,-72.52292427411825,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,2,-108.66994849594181,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 2}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-87.60333267216096,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,11,-26.072135742717663,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,20,6.310973973181219,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-51.535504874709275,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,0,-66.08339314441993,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,8,18.813473806120584,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,2,-40.33250667336603,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,13,-45.058126870797295,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,12,-20.402111417391282,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,11,-37.222493293390706,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,9,-56.76279008920058,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-100.36523087550148,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,0,-137.17208404797378,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,3,-8.503465951109924,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",35,10,-13.356155239216134,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-47.39600528293772,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",25,17,-11.805346581918394,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",25,10,13.982172336534672,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,11,-3.3187052613608183,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,16,-15.823097469663608,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,3,-9.600417084746782,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,7,-49.746619381665745,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,15,9.343972117063611,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,0,2.0755120885938503,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,0,-15.739547598290736,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,11,-34.39205633137942,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,9,18.507658544297552,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,11,17.684687895879616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,0,-41.18729860750029,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",35,9,-65.73422602779921,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,16,7.485286190839405,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,9,-26.549297016579537,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,15,-20.60760875757112,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",30,14,-4.331293670926769,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",35,11,-34.0497864435922,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,14,3.6209240733241965,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,11,7.021245242758839,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,9,-62.63217466147271,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,9,-6.251094027585263,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,12,-1.4151124705251847,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,10,-5.694661701816014,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,11,-74.37359980512646,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,7,-20.843286989101134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,4,19.67239287658982,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,11,16.32290950036958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,9,-11.014452292120815,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,6,22.452871949660626,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,11,21.15638453913808,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,8,-22.91716305048628,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",35,17,18.089357750294823,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,12,13.53365328377896,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,3,15.198329327473878,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,1,-11.882858762076264,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",30,18,-39.267926277704674,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,7,25.951344190638824,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,14,9.089499181778512,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,2,-15.922816632110747,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,14,9.267465867940032,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",30,20,12.835196740230886,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,16,6.433540072829668,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,11,15.261074414541467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,15,7.456796635296564,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,5,16.174227577087795,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,8,26.628932129989135,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",25,17,16.2387452870083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,10,21.102139355848784,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,11,11.963679578540622,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,11,15.993368828149865,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,13,29.238686185533133,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,15,7.724422115503147,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,24.280272709720233,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,7,24.932575770908088,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,18.23358800030151,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,24.17855551598529,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,18.61046023883114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,16,21.81059079001686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,11.029514594585073,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,20,7.440818789297337,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
